,TI=1%,TI=5%,TI=10%,TI=15%,TI=20%,TI=25%
0,0.6870291606022987,0.7196760790859075,0.734050654485206,0.7465595224766334,0.755416250487555,0.7608510098704424
1,0.563827366485723,0.6228483781924832,0.6685233073517235,0.70539950940693,0.7306383222660323,0.7468588181718808
2,0.763208059080736,0.7831140177378886,0.7826735579512295,0.7766932908374579,0.7717650374789581,0.7681347842730842
3,0.6178859348552955,0.6326513055222168,0.6710660481847784,0.7021327061818965,0.7229336333613487,0.7362384953509071
4,0.7430206921529268,0.7722371031961626,0.7700122374459815,0.7711561215443656,0.7729448011423418,0.7741143907589627
5,0.7233990515691876,0.7694269768652179,0.7795383928141196,0.7846456689737483,0.7848454106052734,0.7819722255106015
6,0.6514780999530935,0.6593073920715496,0.6958944655689501,0.7233044474913882,0.7406931614625291,0.7511645153097738
7,0.7307274397479442,0.7799613158569749,0.7684610857861387,0.746978840568728,0.7407836421358538,0.7402441990915132
8,0.7226046918447641,0.7735897284583075,0.7853802552029593,0.790463453792746,0.7907440882691124,0.7883534916920848
9,0.6887993332515814,0.6654295207953982,0.6700382738772814,0.6826706061094967,0.6967174026952214,0.7099299113300158
10,0.7346607460192413,0.7998272159208001,0.8020016754188234,0.7925985789269573,0.781398993569054,0.770346607851639
11,0.7527302668031355,0.7836965164439367,0.7836545348745155,0.7794734387138212,0.7753085331384122,0.7719518737844451
12,0.5880818042229745,0.6223500023994863,0.6662060833121342,0.7011341348377718,0.724671613800319,0.7397714077201067
13,0.7309355442295233,0.7379464867213369,0.7577732767794293,0.7674141114119767,0.7715488549725624,0.7729225586550389
14,0.7494963999759001,0.8023251045438907,0.7880134321468911,0.7732766472327064,0.7605238525150054,0.7553796853990473
15,0.7082205853749416,0.8010012757684305,0.7863805393683101,0.7729880959473374,0.7628232377810991,0.7583791359510653
16,0.7431753865330427,0.7839095794499608,0.7872690287172655,0.7828928501064771,0.7786580748312926,0.775366313664495
17,0.6932988450964652,0.7369552598871273,0.7601906621554719,0.7743163179543862,0.7814853906727065,0.7841497240170644
18,0.6617014641323855,0.7002008195925,0.7193395905126798,0.7354422038008211,0.7465642231920679,0.7535141570672379
19,0.7400415310554062,0.7484958384792267,0.7174744094510417,0.7084416320429486,0.7101548648327504,0.7152943749377413
20,0.7288017352810617,0.7791234971171448,0.7833427060582536,0.7822044358326996,0.7789223002776985,0.7753428515368858
21,0.6415099856697296,0.6585855780994718,0.6966525397007807,0.7249575430644286,0.7426797781065848,0.7532402623415223
22,0.7420283884380701,0.7662748840052996,0.7696171765214552,0.7710600850099499,0.771340672954524,0.7704152788759122
23,0.7756858440733194,0.802260637198554,0.79884512319814,0.7901356414212921,0.7795431779185213,0.7697073733060799
24,0.7241089586089836,0.7025335014444117,0.7055694567832568,0.7154427733280807,0.7261741784841836,0.7355436726803697
25,0.7669382900081445,0.7861363927658103,0.7851248172668057,0.7779019750634909,0.772365904355618,0.7685058447753574
26,0.7562730246542738,0.781974198104313,0.7844441394955461,0.7827731576067323,0.7785288507193779,0.7732147859906019
27,0.6279277329702219,0.6803118265054318,0.7057360581383216,0.7272376677732743,0.74265082134865,0.7527360569688052
28,0.6947609824705115,0.727159908118303,0.7531939887632343,0.7693569552680158,0.7772678402409299,0.7803001671002647
29,0.7240326107772768,0.7875453623724806,0.7862069842913577,0.777125253228117,0.7717648607792116,0.7704770472561638
30,0.7475327228986625,0.7641088351569455,0.7774493397662239,0.7817539050728242,0.7816923494715369,0.780071669692055
31,0.7442540842749495,0.7383757476416817,0.7429560681711538,0.7489577324843374,0.7546396132596647,0.7587576077171387
32,0.745610590796004,0.7851276893468441,0.7872908066983089,0.7814182351638065,0.7762898605672347,0.7725240563786546
33,0.5826169204958569,0.6244537923782598,0.6452109634394185,0.6667526137594159,0.6869185338572549,0.7038241490892934
34,0.738361605805362,0.794442242435897,0.7872445404109513,0.7725726635064155,0.7579067568258804,0.749358231136297
35,0.7483041434240734,0.7805567368930831,0.7835304029828632,0.782699825786697,0.7806201283209537,0.7775873554691828
36,0.7529293137263166,0.767926656936445,0.7762597703944888,0.7800956801423138,0.7799072840971217,0.7779190498017181
37,0.7419190818033266,0.7949386014685862,0.7935054523579524,0.789140116511384,0.7822447900431301,0.7752277562375759
38,0.6186698142808793,0.6677656204780671,0.7049595504749612,0.7294504402061042,0.7436137560159314,0.7515570359983481
39,0.7332973486986498,0.7790421737461726,0.7621880934453409,0.758299408571035,0.7586484594630071,0.7600866496919231
40,0.7321489871213818,0.7718036771108765,0.7825115648222752,0.7841279339543012,0.7825079444446911,0.7799678864298886
41,0.7436150656484184,0.7739839312552721,0.7855885068228341,0.7881492382645515,0.786714220941908,0.7838869070838477
42,0.7382448160986451,0.7920628189209812,0.7913371066794131,0.7829916427093192,0.7745221828955374,0.7688625005867984
43,0.7173274367809657,0.7829890137978232,0.7722595524857018,0.7555228151536569,0.7513820073030588,0.7510899524690153
44,0.524995280380575,0.548172015023192,0.5941083965354479,0.6365795236727658,0.6692143827923644,0.6927866378586397
45,0.7713754070492969,0.7804487244830741,0.7751050694407332,0.7734796093686684,0.7730181753090762,0.7724782433930242
46,0.7571778051896263,0.7924745678490622,0.7946996063372802,0.7888824247125866,0.7803392234973963,0.7724310931219338
47,0.7501118754437391,0.7796750103339396,0.7819831302446212,0.7814354033268422,0.779227239255717,0.7766900860944477
48,0.7386606549473694,0.7850920411593664,0.7825991859823778,0.7732910139846811,0.7686557334467251,0.7677081864818833
49,0.48682568949616967,0.5127333062664702,0.5608855300056407,0.6073330897247814,0.6447192894877083,0.6728200218749953
