,S_x (D m),S_y (D m),theta (degrees),C_T^*,alpha,beta,gamma,C_p
0,9.861,5.145999999999999,30.986654262913785,0.6932695603431639,0.7201685928696151,0.3292280604384803,1.7377652797731686,0.01797344560146008
1,5.267,5.074000000000001,43.77767733450695,0.6688145694010192,0.7065606805391377,0.248222063243911,1.7459601638951607,0.007326395083987469
2,8.82,9.738999999999999,36.02230157125571,0.7393152569085253,0.7446336384640649,0.39403430794068134,1.7241049661785066,0.03381617042115595
3,9.738999999999999,6.86,1.413266535416402,0.6608009347431805,0.7038283404949142,0.37547514826850653,1.7696993094405262,0.024734129303894375
4,5.7170000000000005,9.554,35.479496585450356,0.7164287326950003,0.7327382006170342,0.33543546516051637,1.7405037620662427,0.019940010670834955
5,7.594000000000001,5.4719999999999995,16.70991325298325,0.7518642350501406,0.750373215716907,0.28938681505210867,1.765230877129444,0.013761285513239196
6,7.546000000000001,6.7139999999999995,40.31116277268996,0.6604108199523785,0.7030391223972757,0.33080660431551845,1.720160355786815,0.01694090086567278
7,7.84,9.616000000000001,8.476876640891936,0.7494110847028331,0.7497818708746785,0.37182368226373064,1.7887298012982555,0.028981523527207197
8,5.04,7.643999999999998,23.885609415415505,0.7457635669490773,0.7472321031611607,0.2762594153517868,1.7681288368502384,0.011835742344112674
9,5.553,6.042999999999999,5.854390330962084,0.661976241264999,0.7033632851340501,0.27818895211488776,1.7958092633868936,0.010129874476379565
10,5.04,9.677,16.070554729869663,0.7744110465023868,0.7616797086316232,0.30593315813310284,1.783588353777172,0.016999028880211767
11,8.943000000000001,6.958000000000001,26.352791374859525,0.7358492722168717,0.7428104517647957,0.3462401526818303,1.746892068187042,0.022802598067190927
12,8.453000000000001,5.005999999999999,0.7890081334224486,0.669595818638872,0.7082794777669459,0.306431528086702,1.7646160639759165,0.013748403269930785
13,7.643999999999998,8.636000000000001,28.403939636421118,0.715138147449131,0.7322260894883197,0.35887010808242925,1.7297014480280086,0.024314154833254352
14,7.643999999999998,7.694,10.241497293981428,0.7571550202278557,0.7533817061170358,0.33616136844695305,1.781486418034558,0.021776747842266485
15,9.861,8.514,9.865466842500746,0.7699964528345958,0.7596481367032814,0.38681154058404205,1.7710548340023875,0.034035957841846085
16,5.921,7.643999999999998,39.64996426369267,0.7313707057022093,0.7400348263572213,0.3011207869145739,1.7597516185333975,0.014887333532948447
17,5.634000000000001,6.002999999999999,26.467047663346385,0.7374361776233542,0.7428461386555195,0.2673231853842523,1.75564170758718,0.010553998794402632
18,7.84,8.391,44.055187587632034,0.6776889121071057,0.7126991795238561,0.366585159254672,1.7283772941176427,0.02394735459843455
19,6.247000000000001,9.861,7.561298618830539,0.6973803498572452,0.7229155386113117,0.3528578126452923,1.7841974765697655,0.022257281068838737
