# Low-fidelity variance, Low-fidelity lengthscale 1 (S_x), Low-fidelity lengthscale 2 (S_y), Low-fidelity lengthscale 3 (theta), Scale variance, Scale lengthscale 1 (S_x), Scale lengthscale 2 (S_y), Scale lengthscale 3 (theta), Previous fidelity fidelity 2 variance, Previous fidelity fidelity 2 lengthscale, Bias variance, Bias lengthscale 1 (S_x), Bias lengthscale 2 (S_y), Bias lengthscale 3 (theta)
9.512658759131301101e-02,1.423247950366262948e+00,1.177426155547981246e+00,5.115534817408633472e-01,4.627238170276141239e-05,6.795219280072805122e+04,7.009112038989984583e+00,9.819675577670016864e+00,2.971014463146976823e+02,1.889018448795381222e-01,5.296172534786163233e-01,7.539583682615203725e+04,8.329373052448043018e+04,3.596236260890534322e+04
9.512617531364621348e-02,1.423248481041526681e+00,1.177425863838615250e+00,5.115537051468558305e-01,2.962441666156943722e-06,5.595065461032054009e+04,6.956391094783413998e+00,9.955830913223948642e+00,5.293375794376235717e+03,1.956844477008755356e-01,5.390873266895617189e-01,7.711465641201213293e+04,6.544669875194509223e+04,5.177898688957752165e+04
9.512633480529651686e-02,1.423249243704777456e+00,1.177424251482083184e+00,5.115538421044110162e-01,3.500607284905416691e+03,5.693640044416632736e+04,6.805138122593314520e+00,9.883658627227761784e+00,4.479698362527700102e-06,1.959618006821182146e-01,5.405781695624893857e-01,9.222497069326326891e+04,1.028933271952889336e+05,5.454810780123201403e+04
9.512619172574469928e-02,1.423248646533981532e+00,1.177425588742368134e+00,5.115536531206241744e-01,6.788088441986669042e-06,4.325779102263561799e+04,6.932523077831776348e+00,9.797719666516636394e+00,2.192793397329605341e+03,1.906536585466144795e-01,5.321784026372006204e-01,5.966144959463628766e+04,5.647572974237108428e+04,4.007484232739508298e+04
9.512631135731533516e-02,1.423248541971612990e+00,1.177425012884019129e+00,5.115539734786919146e-01,6.715130561149760178e-06,4.868538925466275396e+04,7.014521577675894903e+00,9.826786982623689326e+00,2.335920510583579926e+03,1.937239287761243767e-01,5.402786558225191049e-01,7.932235466856509447e+04,9.301415496166440425e+04,4.026124018235594849e+04
9.512613540143811941e-02,1.423248065030403353e+00,1.177424898517724694e+00,5.115538188927704066e-01,1.763578007473221533e+03,5.884908758526855672e+04,6.892503731499444619e+00,1.032704614572408275e+01,9.181532872591110324e-06,2.011793319242430877e-01,5.435996877498727731e-01,6.234588143883717566e+04,7.460040900078478444e+04,4.719400761071078887e+04
9.512592483768735063e-02,1.423249657116953282e+00,1.177423698521221862e+00,5.115537291440735990e-01,1.714043886659856071e+03,5.564638863600423065e+04,6.922624033943339583e+00,9.741036384218979549e+00,9.022745368230137433e-06,1.937261318740092497e-01,5.386366217389394473e-01,7.997480162240886420e+04,7.077640539190999698e+04,5.427159037511899078e+04
9.512619243850393980e-02,1.423248586282185979e+00,1.177424636336388275e+00,5.115538904257522779e-01,1.375773149896589442e-01,2.569809612382669366e+04,7.231494175494135312e+00,1.030771325362990787e+01,1.375758924201490596e-01,2.100850680579373353e-01,5.693550457994793756e-01,9.142235716680831683e+04,8.016814444393289159e+04,6.636677677284562378e+04
9.512598811937880705e-02,1.423246061977128329e+00,1.177423578725253606e+00,5.115544375677013589e-01,3.477924324941247488e-06,4.553928484279730037e+04,6.024027943561955034e+00,9.889618519457329171e+00,4.382567492589916583e+03,1.942115353935298661e-01,5.308682267446021008e-01,7.338824914110741520e+04,6.285281126003452664e+04,3.705491321516921744e+04
9.512624039261383113e-02,1.423248724221301664e+00,1.177424640838174108e+00,5.115538828682741901e-01,2.246837256450989424e-06,2.087181890613948781e+04,6.827543613191006777e+00,9.854771666182363887e+00,6.884740723034968141e+03,1.940523488395713703e-01,5.397593493707764090e-01,8.380874109245846921e+04,9.664453687261289451e+04,2.635174623657627671e+04
9.512616698529928472e-02,1.423248196097416374e+00,1.177424567959933110e+00,5.115539295689444099e-01,1.880620897568572900e+03,2.841655524183031230e+04,6.894314428599180644e+00,9.996332986773289520e+00,8.426259879477497830e-06,1.964517524191783937e-01,5.416068681270245211e-01,5.891524529593603802e+04,5.686397519017764716e+04,3.524226067388052616e+04
9.512624260473354076e-02,1.423248624567522880e+00,1.177424579585713227e+00,5.115539784866929285e-01,6.544436872893449618e+03,2.824009839646004912e+04,6.886143215673794948e+00,9.835982891651482873e+00,2.385121141349601595e-06,1.945043234635956686e-01,5.370235479617817553e-01,7.559666183892839763e+04,8.454360766814462841e+04,3.612172506602145586e+04
9.512642745995807114e-02,1.423247169491496100e+00,1.177424767512019743e+00,5.115543992597945122e-01,7.823674997408344405e-06,4.713603792653090204e+04,6.943289001965619711e+00,9.837230933865189542e+00,2.006713587942284903e+03,1.957955113701165262e-01,5.384724809199714635e-01,6.393406492346202140e+04,6.222323874158707622e+04,3.819011367603159306e+04
9.512630070715101527e-02,1.423248557510668144e+00,1.177424969520003861e+00,5.115538566785736707e-01,1.072581269985352810e+04,3.474386814086958475e+04,6.883483093392158914e+00,9.972204152216638917e+00,1.415797455805630868e-06,1.921380267355018989e-01,5.377502306132482257e-01,7.142110119107121136e+04,6.578286337963394180e+04,6.292851971390860854e+04
9.512619003337811907e-02,1.423248656501304499e+00,1.177424731018942516e+00,5.115538379174167094e-01,2.870158602915441900e-06,4.132110809202704695e+04,6.926319424841140382e+00,9.858000710461382710e+00,5.021067625722975208e+03,1.840092140728596948e-01,5.341387739787428757e-01,7.499594437764516624e+04,6.065581602611332346e+04,4.157467044076076854e+04
9.512609927151594036e-02,1.423248193757995494e+00,1.177424708776526163e+00,5.115537834346438606e-01,2.041501743191750620e+03,5.182241400949757372e+04,6.926336568689527518e+00,9.859695046794778150e+00,7.749854789763570043e-06,1.958744953572707226e-01,5.444717198410713443e-01,7.738659678006649483e+04,7.592703631172273890e+04,3.888415257551034301e+04
9.512624893932558612e-02,1.423248791312604178e+00,1.177424786607682794e+00,5.115538804317689703e-01,2.002254533953159404e-06,2.809874302663944400e+04,6.934109782983900239e+00,9.946205115304318056e+00,7.891547930472191183e+03,1.953534329132280423e-01,5.399098719398811586e-01,5.090467714596731093e+04,4.513191240578654833e+04,3.073537669388110226e+04
9.512620723369977216e-02,1.423248542025755237e+00,1.177424775820693492e+00,5.115538589028523209e-01,2.933536235862403828e+03,7.891743698268762091e+04,6.912765297656599195e+00,9.865798140724658438e+00,5.333119439808180098e-06,1.952611115322253899e-01,5.411302362598418014e-01,8.415542889929880039e+04,1.258797423656028841e+05,6.170216220663472632e+04
9.512616755748851127e-02,1.423248823662880191e+00,1.177424861772240705e+00,5.115537661245304069e-01,5.101276694444346842e-06,1.537392308490738833e+04,6.888703166371644926e+00,1.004607940121172227e+01,3.384693749534350900e+03,2.039369075484287752e-01,5.579810752042260180e-01,6.444543620305349759e+04,6.790656324334976671e+04,1.754054026442383474e+04
9.512626439935481515e-02,1.423248661248461611e+00,1.177424687071596532e+00,5.115538556121881353e-01,2.072560711584717694e+02,5.232766418630782573e+04,1.313541887639269312e+01,3.010317558774725910e+01,2.791032988668845725e-03,4.808844352119699961e-01,5.281737434854261512e-05,3.790353880921519258e-01,6.492451275054972326e-01,3.947080053608102435e-01
9.512591674268881803e-02,1.423248130363142794e+00,1.177424118716952517e+00,5.115540216702226806e-01,5.122327268287023827e+01,1.682677388574284851e+04,6.874698962311613037e+00,9.962600919014453993e+00,3.043934997110084913e-04,1.943273451579404232e-01,5.389841921607227970e-01,7.481851228980880114e+04,7.245629180563919363e+04,1.918392674147914295e+04
9.512678216933512232e-02,1.423251817792202001e+00,1.177425385575550987e+00,5.115532713453418978e-01,1.111779808398394198e+04,3.637556413163639081e+04,6.831007835891384161e+00,9.926178016968599138e+00,1.352848349916710235e-06,1.908877497690055214e-01,5.343822581038578656e-01,5.256376113347796490e+04,4.711107942603310948e+04,3.260135013154342232e+04
9.512615995683305903e-02,1.423248366964439349e+00,1.177424975215373815e+00,5.115537628672388593e-01,1.112790400804866079e-03,3.111084026786411778e+04,6.933365010361316472e+00,9.938813032357877830e+00,1.416373427826572851e+01,1.954517876606479687e-01,5.422565279845598107e-01,4.645741572448233637e+04,4.534034269773901906e+04,2.272059740638950825e+04
9.512643298737218089e-02,1.423248999086397015e+00,1.177425077065314296e+00,5.115537783050625453e-01,5.602098229728948446e-06,3.089213712511178528e+04,6.928009338554879548e+00,9.973789063040172209e+00,2.808236133043503742e+03,1.944052697820683184e-01,5.400868252028496741e-01,6.860127725003869273e+04,7.854248076210261206e+04,2.349983593867524178e+04
9.512619286024028009e-02,1.423248743842227215e+00,1.177424734151661267e+00,5.115537979841706662e-01,5.935850597373822394e-04,4.341744330813057786e+02,7.425697569476740867e+00,9.269862017339585591e+00,2.490786319649530611e+01,1.820636948190571536e-01,5.401707650883877943e-01,6.983432744039433828e+02,8.921054734984134029e+02,3.623669347620235612e+02
9.512620127115553603e-02,1.423248611111780582e+00,1.177425910490240923e+00,5.115534414986189216e-01,2.012434087796215465e+02,6.401546727866932633e+04,2.512402854616163594e+01,2.779885304862726159e+01,2.335602605965515170e-03,3.236464407719924496e-01,6.266078202939475946e-05,3.624516341839361988e-23,6.579855734535097135e-31,3.278364317380325757e-15
9.512580612521857881e-02,1.423249891923528132e+00,1.177423054893743215e+00,5.115540923227088754e-01,2.254189129263992072e+03,6.165446586303605727e+04,6.961229447963738437e+00,1.003919670975282408e+01,7.159199567859594249e-06,1.968992845866396890e-01,5.432324311770009295e-01,7.153085344532001182e+04,8.029063832251600979e+04,5.477686086374017032e+04
9.512626523372011422e-02,1.423247391762239245e+00,1.177425383133047454e+00,5.115538531678223144e-01,2.675729874916467138e-04,3.291961000802795024e+04,6.924084894368910170e+00,9.938521918370877728e+00,5.777665939489775582e+01,1.940758222773862063e-01,5.390580637345357973e-01,5.560487213654532388e+04,5.515567124008468818e+04,2.541084690511429653e+04
9.512619059747150219e-02,1.423249509207104246e+00,1.177425321723166274e+00,5.115535290922761380e-01,1.979756443506120558e-06,1.142904938522191806e+05,7.736109933121131377e+00,9.371062138486029980e+00,8.058666018299648385e+03,2.009641183129738662e-01,5.526417014301761021e-01,1.070883941713476670e+05,8.866505472761823330e+04,7.474023875810879690e+04
