# Variance, Lengthscale 1 (S_x), Lengthscale 2 (S_y), Lengthscale 3 (theta)
1.251644554207673567e-03,2.615917195163117270e+00,4.310081901484763875e+03,1.984951815854920920e-01
9.357212486462684322e-04,2.496464822642526560e+00,2.527969443381796737e+03,1.938933303835972954e-01
1.205052917149156176e-03,2.512733433346167722e+00,7.878582321176288588e+02,2.014298358193290228e-01
1.246961661060564568e-03,2.624188389353232065e+00,1.367450767070752136e+03,2.063558696398160031e-01
1.244779980020915226e-03,2.394519488673343410e+00,1.533484113189660548e+03,1.943478950042763498e-01
1.242250620663992288e-03,2.452523167028830997e+00,6.967983147446989101e+00,1.983800346006878990e-01
1.228153195003785746e-03,2.456386715601322823e+00,1.500504818377189167e+03,2.052000827711989439e-01
1.228130502243758105e-03,2.447131777535639152e+00,2.141168042416386470e+03,2.078256063421241862e-01
1.185080039785251730e-03,2.609799025584765175e+00,2.047243621135640296e+03,1.868380185037763486e-01
1.199756378160381654e-03,2.455706319459169507e+00,1.074258186385650333e+03,2.080443361846479600e-01
1.180237484497050982e-03,2.556616214584772173e+00,1.229677668907130510e+03,2.033591009141443029e-01
1.226329666143436380e-03,2.476398539021466227e+00,2.169609879103971252e+03,1.987766148453266601e-01
1.146380604890545000e-03,2.338575825369157979e+00,7.088830996614769120e+00,1.964114325703449626e-01
1.195518419449719764e-03,2.520488102981610190e+00,3.294535070026670837e+03,1.970932665935725414e-01
1.197993031266551909e-03,2.510518048591339202e+00,1.366347118955921133e+03,1.937432849445868688e-01
1.072293282252947998e-03,2.733576099907539358e+00,2.754620955818709717e+03,2.023210158983129725e-01
1.258198185191593483e-03,2.459497141623709027e+00,2.088243099900533707e+03,2.074095455643588937e-01
1.184272280871398941e-03,2.693477181287941224e+00,4.875007622867744431e+03,2.006127106894766143e-01
1.305290957679466511e-03,2.711288804186269275e+00,3.955637607533480150e+03,2.135558805526931725e-01
1.203396554544732206e-03,2.881055326530619354e+00,5.498133024998395513e+00,2.048090094306244946e-01
1.247394881919654686e-03,2.468792954309320109e+00,1.536963073512907158e+03,2.010083276106482963e-01
1.262177885547033232e-03,2.309094767966380690e+00,3.358936210163340093e+03,2.070936466402851783e-01
1.272988393692924035e-03,2.449001187014630876e+00,1.296460331366655439e+01,1.956208104576156459e-01
1.225522157090172841e-03,2.443070852167733342e+00,3.072185109919616863e+01,1.987776452713912734e-01
1.416704702272283045e-03,2.479761694145099504e+00,8.984851573036706895e+00,2.352352011415188016e-01
1.222301000365141801e-03,2.466132630040373197e+00,4.406730261010385220e+03,2.026972478786722709e-01
1.207701766520094620e-03,2.538396870805352812e+00,2.785706376398455291e+02,1.991215372700704256e-01
1.258326673471005025e-03,2.487956552357138307e+00,1.551595647591945060e+01,2.076681492572827192e-01
1.265097373240196962e-03,2.457339790786664757e+00,2.321795182138684595e+03,2.076630221985388269e-01
1.206408188336493929e-03,2.485715698434348919e+00,1.491229166263331308e+03,1.990385524405449968e-01
1.267110974537191724e-03,2.344455228364505484e+00,4.405581258331264507e+03,1.929448558785070711e-01
1.171977621532615784e-03,2.325837498128325631e+00,8.518265337880327692e+00,1.966253928253041128e-01
1.198150910628848842e-03,2.481695293703765071e+00,2.016494704725029351e+03,2.023376135757394834e-01
1.428786220555511169e-03,2.622262574858744255e+00,6.045289478958133955e+00,1.978991324373957084e-01
1.236305955062566402e-03,2.490119924644819793e+00,2.065778806867967887e+03,1.997725319807835964e-01
1.248310721314468963e-03,2.543096899076682682e+00,1.142661176184356464e+03,2.011351525566405785e-01
1.205380930092161962e-03,2.498854622241785783e+00,2.099494672587268340e+01,2.004212756746499569e-01
1.192127941704994223e-03,2.507297574166194476e+00,2.761401250765527493e+02,2.019760654188176574e-01
2.353241306484890258e-03,4.378149866704993620e+00,1.037658609772853513e+00,1.954305376399874339e+00
1.225820052687718632e-03,2.468929024874907618e+00,2.914807715221304107e+01,1.917856140418595645e-01
1.210510854044261671e-03,2.482945500610199918e+00,1.664931582137891837e+03,2.002358989665961320e-01
1.235108527749739912e-03,2.499953121344380413e+00,1.409118238892625868e+03,2.016804153412507794e-01
1.221113990304316648e-03,2.492501274766508068e+00,1.372286278282715557e+03,2.021695508078414361e-01
1.219201288374103295e-03,2.752828907060044905e+00,1.208728359833303756e+01,1.974792998220105955e-01
1.271205271713312735e-03,2.418920402004618886e+00,2.320782682455963908e+01,2.025525179274377252e-01
1.166444420262376319e-03,2.614827792162293996e+00,4.641854891853528898e+03,2.012222983155172729e-01
1.205476223820553918e-03,2.457910475061783728e+00,1.988634813061587010e+03,1.962728401629227903e-01
1.282202751629289055e-03,2.482657149648035411e+00,4.425319665581379525e+01,2.065463873615845103e-01
1.207812764070851025e-03,2.483155855737984474e+00,1.764289383131924893e+01,2.017169255465641742e-01
9.631354067163104245e-04,2.261932589947242445e+00,3.257991168665735131e+03,1.941607135015120111e-01
