# Low-fidelity variance, Low-fidelity lengthscale 1 (S_x), Low-fidelity lengthscale 2 (S_y), Low-fidelity lengthscale 3 (theta), Scale variance, Scale lengthscale 1 (S_x), Scale lengthscale 2 (S_y), Scale lengthscale 3 (theta), Previous fidelity fidelity 2 variance, Previous fidelity fidelity 2 lengthscale, Bias variance, Bias lengthscale 1 (S_x), Bias lengthscale 2 (S_y), Bias lengthscale 3 (theta)
2.093853272040899494e-01,3.306397798384537179e+00,2.510274174510386480e+00,7.313434207350520966e-01,2.201470116367557864e-05,6.818609714650173181e+00,8.072811220142016353e+00,1.008541625632079608e+01,6.521260436510581258e+02,2.374633573462835434e-01,5.740872181915190886e-01,1.053258969875015100e+04,1.284221876648883517e+04,7.566640668474854465e+03
2.093849619252379501e-01,3.306391734676283001e+00,2.510280753540979237e+00,7.313431744621402553e-01,8.519816512740975860e-06,3.727267907497343824e+00,6.274362225057388720e+00,9.084424709653067254e+00,7.396145223903545229e+02,1.154811963057954805e-01,5.133964436908480256e-01,1.162442432751519300e+04,1.691038202021716279e+04,1.502878421283916941e+04
2.093844736147727759e-01,3.306393099178234873e+00,2.510278348985609753e+00,7.313438239209570924e-01,8.573787623121188517e+02,3.757920871990148459e+00,6.175017497064287042e+00,8.708762820178868935e+00,7.059969691682945320e-06,1.146266718767872811e-01,5.113152561208174074e-01,1.003484392892947653e+04,1.263301442217670410e+04,9.143128397772725293e+03
2.093840790738042135e-01,3.306389293195729273e+00,2.510278431954221734e+00,7.313434753793101040e-01,7.915225424922518738e-03,5.343466498605962443e+03,2.983869518518720270e+02,1.134125758444654650e+02,9.283284147105335649e+01,1.567087173794857735e+00,3.324416814092740553e-04,7.987800454504008218e-01,5.760547052018886838e+00,3.278982295037944916e-01
2.093853097084290849e-01,3.306391136156639377e+00,2.510277093198404863e+00,7.313435103133837378e-01,4.404912765952375935e+02,5.342988517444596073e+04,4.141159243493763142e+01,1.182042881869617545e+01,6.343648962233009760e-04,1.757205791868661771e-01,8.758316024321830342e-05,2.450331448801598810e+00,7.629926599745778049e+01,8.074579500701954682e-02
2.093845901319214831e-01,3.306394324036376453e+00,2.510278149257039626e+00,7.313429502686481509e-01,4.014358727216870871e-06,3.788885076464487245e+00,6.017174225636435558e+00,9.370410080296286637e+00,1.554588779036349251e+03,1.167638735062778432e-01,5.121670677420863127e-01,2.344606766766359215e+04,2.206462001918796523e+04,1.021674032160711067e+04
2.093843591794150305e-01,3.306392839643782722e+00,2.510277133921008819e+00,7.313432767581276028e-01,5.449850016580518736e-02,2.186751986141771340e+04,1.770917328219491083e+01,3.064043117754018385e+04,1.649848190565889539e+01,1.254061955426169384e+00,3.022481137086877262e-04,8.876933546790780616e-01,3.209303545854727054e+04,4.582576184991770107e-01
2.093839112618762210e-01,3.306387480028864179e+00,2.510276039948537985e+00,7.313426070172491800e-01,1.150901631710345555e+03,3.549692189259610053e+00,6.335157862852257793e+00,1.077437050820759623e+01,5.993820955383291723e-06,1.213970324028940256e-01,5.193050605839641953e-01,1.722878479715929279e+04,1.901470270341890864e+04,1.370130441158675239e+04
2.093844746735743778e-01,3.306394171006546312e+00,2.510278533359574293e+00,7.313430556924476189e-01,6.056695402823482066e-01,7.334708269534351288e+00,2.606439820670127716e+01,4.303553422574406540e+01,5.554796023548956851e-01,2.093532966088403335e-01,5.869083299612531300e-05,6.409773392694226857e+00,7.244949127646106452e-06,6.075747388026802822e-05
2.093837364222569941e-01,3.306400395697576933e+00,2.510273926061140859e+00,7.313436980788355912e-01,2.673440556736092575e-03,2.751742433084670483e+04,2.174718459073583787e+01,1.271273674137094929e+02,2.406208002263820163e+02,5.843770169230395606e-01,2.197231523708859113e-04,8.682662294663918701e-01,2.637435964758655160e+00,3.131953706859204045e-01
