# Variance, Lengthscale 1 (S_x), Lengthscale 2 (S_y), Lengthscale 3 (theta)
1.286295777652767718e-03,2.730701809023445747e+01,3.806134630510751293e+01,4.576181078778376321e-01
1.315713492908607632e-03,1.813292071223257153e+04,1.094985078930803138e+04,4.942949552356760146e-01
1.266233094527077427e-03,4.532918266629414461e+01,3.488451538911031236e+01,4.543064052140389775e-01
1.350399802412544136e-03,2.708404141285469905e+03,2.337726903311283422e+03,4.608824076151015747e-01
1.245877052684968202e-03,2.759778157102485707e+01,4.509565330093814595e+01,4.528192221127982364e-01
1.287072124508588551e-03,4.823833789410488038e+01,3.354078652219229895e+01,4.579201217174899696e-01
1.275084185288101598e-03,5.665626971121903388e+00,1.010268609724691487e+04,4.027932972465439465e-01
1.266441760507544404e-03,2.142721082801906505e+03,3.324031528035663541e+03,4.520223961358310061e-01
1.263762595274704401e-03,3.475912185650709034e+03,3.648908121787833352e+03,4.471434329032739075e-01
1.285105006460522800e-03,1.024806568077810880e+02,4.205924178901121735e+01,4.561691556335856768e-01
1.271955073500513579e-03,5.053670683383504070e+01,3.703088211049873024e+01,4.531312219890669679e-01
1.252671185313515090e-03,5.982689289380501577e+03,3.012856571816265841e+03,4.502480208751075685e-01
1.248902963992157018e-03,4.099222404940992703e+01,2.525064279903099163e+01,4.634678087563964821e-01
1.298609294693412299e-03,2.731736932657552188e+03,1.660542172751769741e+01,4.599401675781942811e-01
1.256101224053173719e-03,3.277672486728582953e+03,3.475480237659462546e+03,4.552828767568796176e-01
1.271386057768354337e-03,1.482512529289810573e+03,1.838327285825235322e+03,4.480671556980667103e-01
1.184928322466027644e-03,6.646957792382137242e+00,6.792317434732603942e+03,4.315401696485345884e-01
1.282288842708481907e-03,5.408569229178087880e+03,6.160999038151851892e+03,4.384527219586077385e-01
1.324587712770189342e-03,6.664263890747653022e+03,9.843519178904976798e+03,4.492229310233522011e-01
1.260133139116077685e-03,5.374646114524796758e+03,1.246327939672980456e+01,4.803101878465727004e-01
1.269312831673542405e-03,2.754575310943191653e+03,1.776132593543808369e+01,4.522300438425394531e-01
1.314771660105466984e-03,4.825141277404084050e+00,1.308144015580191262e+04,4.407571999318212197e-01
1.265299754256497865e-03,4.461739658150546717e+01,4.132337744768321386e+01,4.538983839201391479e-01
1.265440484885338749e-03,3.192894271254430805e+03,1.927305274029621842e+03,4.516097355193248175e-01
1.227755801706304070e-03,7.091842585675230737e+01,4.407830470027425918e+01,4.512973190879648322e-01
1.231339305941612453e-03,4.383091372271514956e+03,5.079408640953740360e+03,4.388790976407087041e-01
1.268074357567026663e-03,1.536598876038179924e+02,7.226475689597359064e+01,4.520919055810317388e-01
1.300280907902970047e-03,3.159056012903332430e+03,1.648910841071995392e+01,4.642308496937232465e-01
1.338890244397172337e-03,6.429890257040471624e+03,8.525742731526561329e+03,4.585691897963977137e-01
1.243714770506343771e-03,7.962085082271927128e+00,1.034947410941441781e+01,4.202950626439668214e-01
1.273477271115708298e-03,6.644129824419250951e+01,2.803070186925983265e+01,4.495587559643202669e-01
1.296957376197568814e-03,5.719350347489651540e+03,1.127050474806521763e+01,4.771777768581718648e-01
1.253872375168236164e-03,3.369964374606863203e+03,3.523440322800600370e+03,4.542075691588093322e-01
1.273767694970417670e-03,3.068148172466901087e+03,3.104496140426847887e+03,4.590789320742650337e-01
1.209995839349493722e-03,2.816648852521566582e+01,4.726521314692351439e+01,4.412803445812755188e-01
1.253943553987081454e-03,2.716604044823363438e+03,3.309675290411051265e+03,4.464581848057578295e-01
1.262970477399683565e-03,2.530179822377131131e+03,4.505813526040983561e+03,4.488297484460098685e-01
1.271361594628566587e-03,9.276993965423184818e+01,6.286726912822693691e+01,4.533222761754134300e-01
1.254667417985829651e-03,6.290944145031855442e+03,9.287181834041413822e+03,4.502999705014052445e-01
1.231055553073002323e-03,2.438805922257869497e+03,1.765788722274199785e+01,4.494730468298053783e-01
1.258668482690296049e-03,2.945401028061315174e+03,3.698588417190304426e+03,4.474089953705779887e-01
1.259685149000594603e-03,3.122466358945207958e+03,3.080476435514282002e+03,4.465598190650351684e-01
1.272417567690479123e-03,2.253484275005532254e+03,2.416385478276255526e+03,4.508670430880478697e-01
1.261519903467054216e-03,2.546329024357475191e+03,2.321083479778591027e+03,4.561064102105821805e-01
1.237409316217651318e-03,1.496744768560305943e+02,9.866968357954144153e+01,4.638747242498558743e-01
1.259805146305597321e-03,4.467988881323928581e+03,4.864614783270618318e+03,4.555926619117301457e-01
1.278365468878811051e-03,2.941334843134741845e+02,1.121331290097972442e+02,4.547669157889094871e-01
1.176220197825664227e-03,9.173569265659006433e+00,3.439511272880412434e+03,4.107852804754101861e-01
1.354845992070939859e-03,1.497584318883248677e+01,6.956565337055788056e+00,5.042387840938887811e-01
1.085637565178326856e-03,5.510022459689992047e+01,4.254127396880959822e+01,4.658635195721311240e-01
