# Low-fidelity variance, Low-fidelity lengthscale 1 (S_x), Low-fidelity lengthscale 2 (S_y), Low-fidelity lengthscale 3 (theta), Scale variance, Scale lengthscale 1 (S_x), Scale lengthscale 2 (S_y), Scale lengthscale 3 (theta), Previous fidelity fidelity 2 variance, Previous fidelity fidelity 2 lengthscale, Bias variance, Bias lengthscale 1 (S_x), Bias lengthscale 2 (S_y), Bias lengthscale 3 (theta)
9.699862963748343003e-02,1.396117418723847203e+00,1.096030540507854312e+00,5.074665605590689132e-01,9.027660361598301717e-05,1.277270195650699414e+01,9.157761450468067110e+00,6.808498626411228827e+00,1.233326116578979565e+02,1.860907173218820931e-01,5.032564058595954126e-01,1.178476521336117912e+04,2.790389249709545038e+04,6.523228796371112367e+03
9.699842133926274423e-02,1.396117150396696927e+00,1.096029513379325859e+00,5.074671407626225594e-01,6.277248252336697476e+00,1.106358775810385993e+02,3.859588766350980649e+01,4.418005661056663769e+01,4.390207082901740471e-02,2.848347063591942230e-01,5.733449730195511261e-05,1.892660288633935916e-08,2.010003689147132633e+01,7.059275390238064496e-01
9.699912261855450635e-02,1.396119636027397304e+00,1.096031325787201194e+00,5.074663649222543871e-01,1.048491811073409830e-01,1.194072658038051848e+01,1.006861612776487114e+01,5.890657230556332280e+00,1.048490772586465614e-01,1.911096567952360048e-01,4.862210409186867865e-01,9.729900390020963096e+04,9.298175103852064058e+04,4.567855550254581613e+04
9.699886795560835884e-02,1.396120326734008765e+00,1.096031709602882653e+00,5.074667331274369531e-01,1.028266339373252322e+03,1.209104743111419999e+01,9.451402446392991763e+00,6.728173486839367001e+00,1.103258057482026002e-05,1.860923730432926249e-01,4.985723630472463364e-01,1.139002500305078502e+04,1.446090356805349074e+04,6.312686433158999534e+03
9.699851498337516698e-02,1.396117383489135166e+00,1.096031886452587978e+00,5.074660859625230724e-01,1.619235514221132740e-05,1.108711975546356143e+01,9.639040479815003337e+00,6.137237321949930546e+00,7.014567966909289680e+02,1.900341683022822858e-01,4.998825151134247413e-01,1.130256016307111167e+04,1.684738555227260076e+04,1.582904911958888442e+04
9.699861269371673478e-02,1.396118400866565024e+00,1.096030827952858333e+00,5.074667198986895222e-01,1.083825718377108699e-01,1.225901640016290983e+01,9.209322504879114746e+00,6.882618685840874662e+00,1.083828563524864147e-01,1.892274134031977639e-01,4.975707444286658898e-01,6.612073293953613029e+04,4.826153773190409265e+04,3.603459594474004552e+04
9.699878194023975331e-02,1.396121074239071946e+00,1.096029889718506789e+00,5.074665577007081430e-01,5.666893951572682386e-01,2.141956822350828560e+01,3.070305805295110346e+01,1.827683429297004736e+01,6.365377118213378926e-01,3.807323700585791837e-01,4.673156105587241240e-05,5.277202568799595503e-10,4.099957007042038803e-01,7.821615785017993483e-02
9.699869373270167405e-02,1.396108997110119265e+00,1.096031737218535307e+00,5.074666186336304063e-01,1.268237125889153605e+00,2.694988093933799433e+01,2.879215024983511384e+01,1.501328721267080546e+01,2.493922440752467107e-01,4.008671443141497148e-01,4.657913410871792795e-05,1.005551537019557795e+00,6.175091835434328686e+02,2.005899462949876227e-02
9.699899976054333905e-02,1.396121602949712770e+00,1.096031401173633846e+00,5.074660407800641870e-01,1.202054125184126178e+03,1.216777234800671614e+01,9.524244842823375023e+00,6.833988480057087145e+00,9.788475862582066077e-06,1.899289092150030500e-01,5.015812648427324660e-01,2.574723038235622880e+04,5.178691869219142245e+04,5.084821268465620960e+03
9.699916142805334318e-02,1.396120798205870761e+00,1.096030042634874135e+00,5.074661996362126448e-01,1.826279606938279950e-05,4.697389030122161057e+04,9.337208209479349819e+00,1.008480369762532369e+01,8.011201793727934728e+02,1.834219332553347626e-01,5.043110572484245102e-01,6.336473898175584327e+04,5.838483818451553088e+04,3.591164569786563516e+04
9.699917560742858658e-02,1.396122086057089318e+00,1.096031118385355274e+00,5.074662838253853892e-01,1.113934928234282987e-05,1.076078912342553728e+01,9.548173637013034565e+00,6.457746903619224987e+00,9.307295023196051034e+02,1.835040775648011380e-01,4.875925802274373999e-01,9.928333413853821185e+03,1.972749319339588328e+04,1.340961511320052341e+04
9.699878226040913043e-02,1.396117176004316951e+00,1.096031466053382308e+00,5.074660098007945930e-01,1.283303096491113706e+02,1.233723714468904831e+01,9.571817378515149244e+00,6.679089732473724617e+00,8.916730417250559181e-05,1.885011510330264206e-01,4.983971943378034952e-01,1.279496080937035913e+04,1.835021873885979585e+04,1.034431038840424480e+04
